temp: 15.85C 	 humi: 70.915% 	 co2: 639 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.43Pa 	 gasRes: None Ohm 	 outside temp: 5.46 C
temp: 15.83C 	 humi: 71.247% 	 co2: 638 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.47Pa 	 gasRes: None Ohm 	 outside temp: 5.46 C
temp: 15.82C 	 humi: 70.778% 	 co2: 635 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.53Pa 	 gasRes: None Ohm 	 outside temp: 5.27 C
temp: 15.8C 	 humi: 71.094% 	 co2: 626 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.57Pa 	 gasRes: None Ohm 	 outside temp: 5.27 C
temp: 15.78C 	 humi: 71.076% 	 co2: 619 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.63Pa 	 gasRes: None Ohm 	 outside temp: 5.22 C
temp: 15.76C 	 humi: 70.916% 	 co2: 613 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.69Pa 	 gasRes: None Ohm 	 outside temp: 5.22 C
temp: 15.75C 	 humi: 70.771% 	 co2: 608 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.74Pa 	 gasRes: None Ohm 	 outside temp: 5.04 C
temp: 15.74C 	 humi: 70.925% 	 co2: 597 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.74Pa 	 gasRes: None Ohm 	 outside temp: 5.0 C
temp: 15.72C 	 humi: 71.13% 	 co2: 586 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.78Pa 	 gasRes: None Ohm 	 outside temp: 5.04 C
temp: 15.7C 	 humi: 71.035% 	 co2: 576 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.82Pa 	 gasRes: None Ohm 	 outside temp: 5.04 C
temp: 15.68C 	 humi: 71.136% 	 co2: 568 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.86Pa 	 gasRes: None Ohm 	 outside temp: 5.02 C
temp: 15.66C 	 humi: 71.209% 	 co2: 559 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.88Pa 	 gasRes: None Ohm 	 outside temp: 5.19 C
temp: 15.64C 	 humi: 71.07% 	 co2: 557 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.9Pa 	 gasRes: None Ohm 	 outside temp: 5.21 C
temp: 15.62C 	 humi: 71.576% 	 co2: 550 	 pm25: -1.0 	 pm100: -1.0 	 press: 1012.96Pa 	 gasRes: None Ohm 	 outside temp: 5.19 C
temp: 15.6C 	 humi: 71.184% 	 co2: 542 	 pm25: -1.0 	 pm100: -1.0 	 press: 1013.02Pa 	 gasRes: None Ohm 	 outside temp: 5.02 C
